Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
THE ANGRIEST SIDEMEN VIDEO EVER *RAGE QUIT*,angriest sidemen video ever rage quit,"[0.02637323 0.02637443 0.39364997 0.02637315 0.20508476 0.02637366
 0.1639036  0.02637315 0.02637315 0.02637349 0.0263741  0.02637332]",0,video_sidemen_official
Can We Find The Liar?,can find liar,"[0.03456331 0.03456381 0.61980267 0.03456331 0.03456331 0.03456331
 0.03456331 0.03456331 0.03456376 0.03456331 0.03456331 0.03456331]",0,video_sidemen_official
Can We Find The Liar?,can find liar,"[0.03456331 0.03456381 0.61980267 0.03456331 0.03456331 0.03456331
 0.03456331 0.03456331 0.03456376 0.03456331 0.03456331 0.03456331]",0,video_sidemen_official
SIDEMEN FAMILY FEUD! (Sidemen Gaming),sidemen family feud sidemen gaming,"[0.02782093 0.02782107 0.39937187 0.02782085 0.02782113 0.02782098
 0.0278211  0.02782085 0.02782085 0.02782118 0.32241827 0.02782094]",0,video_sidemen_official
WOULD YOU RATHER: SIDEMEN EDITION,would rather sidemen edition,"[0.02460917 0.02460923 0.7292985  0.02460913 0.02460925 0.02460919
 0.02460924 0.02460913 0.02460913 0.02460928 0.02460957 0.02460917]",0,video_sidemen_official
999 IQ GAMING MOMENTS!,999 iq gaming moments,"[0.4437847  0.03093388 0.24686876 0.03093319 0.03093939 0.0309342
 0.03093568 0.03093479 0.03093319 0.03093584 0.03093319 0.03093319]",0,video_sidemen_official
999 IQ MOMENTS!,999 iq moments,"[0.6127863  0.03520054 0.03519981 0.03519981 0.03520665 0.03520088
 0.03520244 0.0352015  0.03519981 0.03520261 0.03519981 0.03519981]",0,video_sidemen_official
WHY UNITED PAID $80 MILLION FOR MAGUIRE,why united paid 80 million maguire,"[0.5990312  0.02603116 0.02603116 0.02603116 0.02603116 0.02603116
 0.02603116 0.14065724 0.02603116 0.02603116 0.02603116 0.02603116]",0,video_sidemen_official
The SIDEMEN play HIGHER OR LOWER (Sidemen Gaming),sidemen play higher lower sidemen gaming,"[0.02293413 0.02293423 0.52389702 0.02293407 0.02293427 0.02293416
 0.02293425 0.02293407 0.02293407 0.24676064 0.02293497 0.02293413]",0,video_sidemen_official
KING 5,king 5,"[0.54166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",0,video_sidemen_official
