Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
When OPTIMUS and BUMBLEBEE went on a KILL STREAK of Decepticons,optimus bumblebee went kill streak decepticons,"[0.03457296 0.61969749 0.03457296 0.03457296 0.03457296 0.03457296
 0.03457296 0.03457296 0.03457296 0.03457296 0.03457296 0.03457296]",5,shorts_how_sidemen
When THE AVENGERS defended earth from Thanos's GOONS,avengers defended earth thanoss goons,"[0.03452428 0.03452428 0.03452428 0.03452428 0.03452428 0.62023295
 0.03452428 0.03452428 0.03452428 0.03452428 0.03452428 0.03452428]",5,shorts_how_sidemen
How KRATOS violated THE GODS OF OLYMPUS in the WORST ways,how kratos violated gods olympus worst ways,"[0.02835934 0.02835941 0.0283594  0.02835937 0.02835934 0.02835934
 0.02835955 0.02835937 0.68804677 0.02835934 0.0283594  0.02835937]",5,shorts_how_sidemen
JOSH :(,josh,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.54166667 0.04166667 0.04166667]",5,shorts_how_sidemen
BEST BIG WEDGE GOLF MOMENTS,best big wedge golf moments,"[0.02323949 0.74436319 0.02323934 0.02323934 0.02324066 0.02323953
 0.02324014 0.02323965 0.02323934 0.02324052 0.02323934 0.02323945]",5,shorts_how_sidemen
When GODZILLA x KONG Took Turns COOKING the MONSTERVERSE,godzilla x kong took turns cooking monsterverse,"[0.03457216 0.03457216 0.03457216 0.03457216 0.03457216 0.03457216
 0.03457216 0.03457216 0.61970626 0.03457216 0.03457216 0.03457216]",5,shorts_how_sidemen
How KRATOS violated THE GODS OF OLYMPUS in the WORST ways,how kratos violated gods olympus worst ways,"[0.02835934 0.02835941 0.0283594  0.02835937 0.02835934 0.02835934
 0.02835955 0.02835937 0.68804677 0.02835934 0.0283594  0.02835937]",5,shorts_how_sidemen
How KEVIN defended his HOME ALONE from two GOONS,how kevin defended home alone two goons,"[0.02616712 0.02616712 0.02616717 0.02616714 0.02616712 0.02616712
 0.02616712 0.02616714 0.71216152 0.02616712 0.02616716 0.02616714]",5,shorts_how_sidemen
When CTE turned THE WINTER SOLDIER from a good GUY into a CRASHOUT,cte turned winter soldier good guy into crashout,"[0.18046432 0.02585529 0.02585529 0.02585529 0.14801261 0.30580717
 0.15887239 0.02585649 0.02585529 0.02585529 0.02585529 0.02585529]",5,shorts_how_sidemen
The Bible Lore Iceberg,bible lore iceberg,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
When CREED & DRAGO took turns trading CTE as ROCKY watches,creed drago took turns trading cte rocky watches,"[0.03457991 0.03457991 0.03457991 0.03457991 0.03457991 0.03457991
 0.03457991 0.03457991 0.30413998 0.35006092 0.03457991 0.03457991]",5,shorts_how_sidemen
When THE AVENGERS had a CIVIL WAR at the airport,avengers had civil war airport,"[0.3410862  0.02781361 0.02781361 0.02781361 0.02781361 0.38077772
 0.02781361 0.02781361 0.02781361 0.02781361 0.02781361 0.02781361]",5,shorts_how_sidemen
How THE BATMAN beatdown EVERY Gotham thug to stop the RIDDLER,how batman beatdown every gotham thug stop riddler,"[0.02808683 0.02808683 0.02808705 0.02808693 0.02808683 0.20072527
 0.02808683 0.02808693 0.29359532 0.02808683 0.25289742 0.02808694]",5,shorts_how_sidemen
Craziest Things Spotted on Google Maps,craziest things spotted google maps,"[0.02783893 0.02783893 0.02783893 0.02783893 0.02783893 0.69377173
 0.02783893 0.02783893 0.02783893 0.02783893 0.02783893 0.02783893]",5,shorts_how_sidemen
USA,usa,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.54166667 0.04166667 0.04166667]",5,shorts_how_sidemen
Food Network,food network,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.54166667 0.04166667 0.04166667 0.04166667]",5,shorts_how_sidemen
FXX,fxx,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
truTV,trutv,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
ESPN,espn,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.54166667 0.04166667 0.04166667]",5,shorts_how_sidemen
TYT Network,tyt network,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
CNN,cnn,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
BATMAN and DEATHSTROKE were BOXING | Batman: Arkham Origins,batman deathstroke boxing batman arkham origins,"[0.02457494 0.02457494 0.02457494 0.02457494 0.02457494 0.72967571
 0.02457494 0.02457494 0.02457494 0.02457494 0.02457494 0.02457494]",5,shorts_how_sidemen
BATMAN turned KILLER CROC into a PURSE | Batman: Arkham Origins,batman turned killer croc into purse batman arkham origins,"[0.02210494 0.02210494 0.02210494 0.02210494 0.02210494 0.75684563
 0.02210494 0.02210494 0.02210494 0.02210494 0.02210494 0.02210494]",5,shorts_how_sidemen
When THE AVENGERS defended earth from Thanos's GOONS,avengers defended earth thanoss goons,"[0.03452428 0.03452428 0.03452428 0.03452428 0.03452428 0.62023295
 0.03452428 0.03452428 0.03452428 0.03452428 0.03452428 0.03452428]",5,shorts_how_sidemen
When OPTIMUS and BUMBLEBEE went on a KILL STREAK of Decepticons,optimus bumblebee went kill streak decepticons,"[0.03457296 0.61969749 0.03457296 0.03457296 0.03457296 0.03457296
 0.03457296 0.03457296 0.03457296 0.03457296 0.03457296 0.03457296]",5,shorts_how_sidemen
When THE AVENGERS had a CIVIL WAR at the airport,avengers had civil war airport,"[0.3410862  0.02781361 0.02781361 0.02781361 0.02781361 0.38077772
 0.02781361 0.02781361 0.02781361 0.02781361 0.02781361 0.02781361]",5,shorts_how_sidemen
ESPN,espn,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.54166667 0.04166667 0.04166667]",5,shorts_how_sidemen
ADVERTS THAT ARE BANNED TODAY!,adverts banned today,"[0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",5,shorts_how_sidemen
SIDEMEN PLAY TIKTOK GAMES - 2 HOURS EDITION!,sidemen play tiktok games 2 hours edition,"[0.02310722 0.02310727 0.12563533 0.02310719 0.02310729 0.02310724
 0.02310796 0.02310719 0.02310719 0.6432913  0.0231076  0.02310722]",5,shorts_how_sidemen
BEST INSTANT KARMA MOMENTS!,best instant karma moments,"[0.02861285 0.02861289 0.02861276 0.02861276 0.02861352 0.02861287
 0.02861318 0.02861294 0.02861276 0.68525791 0.02861276 0.02861281]",5,shorts_how_sidemen
Craziest Street Interviews Of All Time!,craziest street interviews time,"[0.03065288 0.03065389 0.03065288 0.03065288 0.03065288 0.43273235
 0.03065403 0.26072768 0.03066043 0.03065288 0.03065436 0.03065288]",5,shorts_how_sidemen
Clips That Made *AMP* Famous (Part 2),clips made amp famous part 2,"[0.02794775 0.02795007 0.02794775 0.02794775 0.02794775 0.69257248
 0.02794775 0.02794775 0.02794775 0.02794775 0.02794775 0.02794775]",5,shorts_how_sidemen
Clips That Made AMP Famous,clips made amp famous,"[0.03056083 0.03056083 0.03056083 0.03056083 0.03056083 0.66383086
 0.03056083 0.03056083 0.03056083 0.03056083 0.03056083 0.03056083]",5,shorts_how_sidemen
CLIPS THAT MADE *ISHOWSPEED* FAMOUS 2!,clips made ishowspeed famous 2,"[0.02782022 0.02782022 0.02782022 0.02782022 0.02782022 0.52834041
 0.19345738 0.02782022 0.02782022 0.02782022 0.02782022 0.02782022]",5,shorts_how_sidemen
UniMas,unimas,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
SIDEMEN PLAY TIKTOK GAMES - 2 HOURS EDITION!,sidemen play tiktok games 2 hours edition,"[0.02310722 0.02310727 0.12563533 0.02310719 0.02310729 0.02310724
 0.02310796 0.02310719 0.02310719 0.6432913  0.0231076  0.02310722]",5,shorts_how_sidemen
SIDEMEN PLAY TIKTOK GAMES - 2 HOURS EDITION!,sidemen play tiktok games 2 hours edition,"[0.02310722 0.02310727 0.12563533 0.02310719 0.02310729 0.02310724
 0.02310796 0.02310719 0.02310719 0.6432913  0.0231076  0.02310722]",5,shorts_how_sidemen
GREATEST ROASTS OF ALL TIME!,greatest roasts time,"[0.03073068 0.40899068 0.03073068 0.03073068 0.03073068 0.03073164
 0.03073185 0.03073068 0.03073566 0.28369386 0.0307322  0.03073068]",5,shorts_how_sidemen
MOST AWKWARD CELEBRITY ROASTS!,most awkward celebrity roasts,"[0.02807451 0.02807588 0.02807451 0.02807451 0.02807451 0.02807566
 0.14284716 0.02807451 0.02807451 0.57640522 0.02807451 0.02807451]",5,shorts_how_sidemen
SOCIAL MEDIA INFLUENCERS BEING *STUPID*,social media influencers being stupid,"[0.03470541 0.03470541 0.03470541 0.03470541 0.03470546 0.03470541
 0.03470541 0.03470541 0.03470541 0.61824049 0.03470541 0.03470541]",5,shorts_how_sidemen
truTV,trutv,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
ESPN,espn,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.54166667 0.04166667 0.04166667]",5,shorts_how_sidemen
"BIG WEDGE GOLF LOSE A BALL, LOSE A CLUB!",big wedge golf lose ball lose club,"[0.0224129  0.5097438  0.18076913 0.0224129  0.10777018 0.0224129
 0.0224129  0.02241367 0.0224129  0.0224129  0.0224129  0.0224129 ]",5,shorts_how_sidemen
SIDEMEN GUESS EACHOTHERS PASSWORDS,sidemen guess eachothers passwords,"[0.03536614 0.61096653 0.03536694 0.03536582 0.03536686 0.03536631
 0.03536677 0.03536582 0.03536582 0.03536706 0.03536977 0.03536616]",5,shorts_how_sidemen
"BEST ""TO CATCH A PREDATOR"" MOMENTS!",best catch predator moments,"[0.03451816 0.03451833 0.03451782 0.03451782 0.03452337 0.03451825
 0.03451942 0.03451852 0.03451782 0.62029468 0.03451782 0.03451801]",5,shorts_how_sidemen
MOST OUTRAGEOUS *SCARED STRAIGHT* MOMENTS!,most outrageous scared straight moments,"[0.02819541 0.02819596 0.02819504 0.02819504 0.02819789 0.50744058
 0.02819896 0.02819578 0.02819504 0.02819627 0.210599   0.02819504]",5,shorts_how_sidemen
SIDEMEN OFFENSIVE REVERSE CATEGORIES,sidemen offensive reverse categories,"[0.03571596 0.60711917 0.03571671 0.03571567 0.03571664 0.03571612
 0.03571655 0.03571567 0.03571567 0.03571682 0.03571904 0.03571598]",5,shorts_how_sidemen
SIDEMEN BRUTALLY RATE THEMSELVES,sidemen brutally rate themselves,"[0.03577118 0.03577148 0.03577166 0.03577099 0.03577162 0.03577128
 0.03577156 0.03577099 0.03577099 0.60651394 0.03577312 0.03577119]",5,shorts_how_sidemen
ICONIC BRITISH MEMES!,iconic british memes,"[0.03051437 0.03051437 0.03051437 0.03051437 0.03051437 0.66434195
 0.03051437 0.03051437 0.03051437 0.03051437 0.03051437 0.03051437]",5,shorts_how_sidemen
ICONIC *BRITISH TV* MOMENTS!,iconic british tv moments,"[0.02817698 0.02817695 0.02817675 0.02817675 0.02817851 0.47041395
 0.02817746 0.24781486 0.02817675 0.02817751 0.02817675 0.02817675]",5,shorts_how_sidemen
WORST SIDEMEN JOKES OF ALL TIME!,worst sidemen jokes time,"[0.02827424 0.02827517 0.02827539 0.02827378 0.02827528 0.02827458
 0.02827553 0.02827378 0.5761552  0.02827557 0.1410972  0.02827427]",5,shorts_how_sidemen
THE WORST SWAT TEAM OF ALL TIME (Ready Or Not),worst swat team time ready,"[0.02802031 0.20601894 0.02802031 0.02802031 0.02802031 0.0280204
 0.02802068 0.02802031 0.51377735 0.02802031 0.02802046 0.02802031]",5,shorts_how_sidemen
SIDEMEN RUSH BUT WE USE THE WORST PLAYERS POSSIBLE,sidemen rush use worst players possible,"[0.02623001 0.02623023 0.02623021 0.02622993 0.02623019 0.02623005
 0.02623039 0.02623035 0.49157313 0.02623024 0.24612527 0.02623001]",5,shorts_how_sidemen
MEMES YOU *CANNOT LAUGH* AT!,memes cannot laugh,"[0.03455624 0.03455624 0.03455624 0.03455624 0.03455624 0.61988135
 0.03455624 0.03455624 0.03455624 0.03455624 0.03455624 0.03455624]",5,shorts_how_sidemen
DARKEST HUMOUR TIKTOKS!,darkest humour tiktoks,"[0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",5,shorts_how_sidemen
TIKTOKS THAT ARE *SLIGHTLY* OFFENSIVE!,tiktoks slightly offensive,"[0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",5,shorts_how_sidemen
UNUSUAL MEMES!,unusual memes,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.54166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",5,shorts_how_sidemen
MEMES THAT HIT THE SPOT!,memes hit spot,"[0.03055051 0.03055051 0.03055051 0.03055051 0.22149676 0.47299809
 0.03055051 0.03055051 0.03055051 0.03055051 0.03055051 0.03055051]",5,shorts_how_sidemen
MOMENTS BEFORE DISASTER!,moments before disaster,"[0.03502499 0.61471751 0.03502398 0.03502398 0.03503185 0.03502527
 0.03502714 0.03502601 0.03502398 0.03502735 0.03502398 0.03502398]",5,shorts_how_sidemen
SECONDS BEFORE DISASTER!,seconds before disaster,"[0.03451928 0.62028797 0.03451928 0.03451928 0.03451928 0.03451928
 0.03451928 0.03451928 0.03451928 0.03451928 0.03451928 0.03451928]",5,shorts_how_sidemen
LUCKIEST PEOPLE ALIVE!,luckiest people alive,"[0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",5,shorts_how_sidemen
PEOPLE WHO WERE EXTREMELY *UNLUCKY*,people who extremely unlucky,"[0.03453075 0.6201616  0.03453095 0.03453075 0.03453075 0.03453075
 0.03453075 0.03453075 0.03453075 0.03453075 0.03453075 0.03453075]",5,shorts_how_sidemen
MOST UNLUCKY PEOPLE IN THE WORLD,most unlucky people world,"[0.03062098 0.46590576 0.03062007 0.22788689 0.03062007 0.03062089
 0.03062499 0.03062007 0.03062007 0.03062007 0.03062007 0.03062007]",5,shorts_how_sidemen
WHEN SIDEMEN VIDEOS GO WRONG!,sidemen videos go wrong,"[0.02824811 0.02824827 0.02824837 0.02824801 0.02824834 0.02824816
 0.02824831 0.2107032  0.02824801 0.50681309 0.02825003 0.02824812]",5,shorts_how_sidemen
Can We Get 50 Kills In 3 Games? (OG FORTNITE SEASON 2),can get 50 kills 3 games og fortnite season 2,"[0.10876671 0.02020127 0.02020155 0.02020112 0.08219116 0.02020112
 0.02020112 0.02020112 0.55038669 0.09704591 0.02020112 0.02020112]",5,shorts_how_sidemen
Best MoreSidemen Moments Of All Time,best moresidemen moments time,"[0.0306104  0.03061116 0.03061007 0.03061007 0.0306129  0.03061105
 0.03061232 0.03061075 0.27308899 0.42080109 0.03061095 0.03061025]",5,shorts_how_sidemen
STRANGEST DEATH ROW MEAL REQUESTS,strangest death row meal requests,"[0.03454064 0.03454064 0.03454064 0.03454064 0.03454064 0.03454064
 0.03454064 0.03454064 0.03454064 0.62005292 0.03454064 0.03454064]",5,shorts_how_sidemen
WEIRDEST Things Found on Google Earth,weirdest things found google earth,"[0.02780988 0.02780988 0.02780988 0.02780988 0.02780988 0.6940913
 0.02780988 0.02780988 0.02780988 0.02780988 0.02780988 0.02780988]",5,shorts_how_sidemen
PLACES YOU SHOULD NEVER SEARCH ON GOOGLE!,places should never search google,"[0.30604014 0.02585265 0.02585265 0.02585265 0.17890052 0.16691341
 0.02585265 0.14132475 0.02585265 0.02585265 0.02585265 0.02585265]",5,shorts_how_sidemen
USA,usa,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.54166667 0.04166667 0.04166667]",5,shorts_how_sidemen
SPEED MOMENTS THAT TURNED INTO MEMES!,speed moments turned into memes,"[0.02608717 0.02608714 0.02608701 0.02608701 0.0260895  0.71303878
 0.0260875  0.02608732 0.02608701 0.02608754 0.02608701 0.02608701]",5,shorts_how_sidemen
SPEED MOMENTS THAT TURNED INTO MEMES,speed moments turned into memes,"[0.02608717 0.02608714 0.02608701 0.02608701 0.0260895  0.71303878
 0.0260875  0.02608732 0.02608701 0.02608754 0.02608701 0.02608701]",5,shorts_how_sidemen
