Original_Title,Cleaned_Title,Cluster,Cluster_Name
$1600 Nashville Apartment #shorts #nyc,1600 nashville apartment nyc,3,Housing & Real Estate
$1600 Nashville Apartment #shorts #nyc,1600 nashville apartment nyc,3,Housing & Real Estate
NYC Repeat Run-Ins 👋,nyc repeat runins,3,Housing & Real Estate
Japan Apartment Tour #japan #home tour,japan apartment tour japan home tour,3,Housing & Real Estate
"Touring a $20,000,000 NYC Penthouse With a Massive Rooftop Deck",touring 20000000 nyc penthouse massive rooftop deck,3,Housing & Real Estate
Touring a 54th Floor New York City PENTHOUSE with 360° City Views,touring 54th floor york city penthouse 360 city views,3,Housing & Real Estate
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,3,Housing & Real Estate
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,3,Housing & Real Estate
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,3,Housing & Real Estate
$2650 NYC apartment #shorts #nyc,2650 nyc apartment nyc,3,Housing & Real Estate
$$$& NYC apartment #shorts #nyc,nyc apartment nyc,3,Housing & Real Estate
My NYC Apartment Tour 2024 | New York City VLOG,nyc apartment tour 2024 york city vlog,3,Housing & Real Estate
"$27,500,000 Trump Tower NYC Apartment Tour #shorts",27500000 trump tower nyc apartment tour,3,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,3,Housing & Real Estate
"$54,600,000 Billionaires Row NYC Penthouse Full Tour #shorts",54600000 billionaires row nyc penthouse tour,3,Housing & Real Estate
$1535 NYC apartment #shorts #nyc,1535 nyc apartment nyc,3,Housing & Real Estate
$6500 NYC apartment #shorts #nyc,6500 nyc apartment nyc,3,Housing & Real Estate
"$12,000 NYC apartment #shorts #nyc",12000 nyc apartment nyc,3,Housing & Real Estate
$89 NYC MICRO APARTMENT #shorts,89 nyc micro apartment,3,Housing & Real Estate
$2300 NYC apartment #shorts #nyc,2300 nyc apartment nyc,3,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,3,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,3,Housing & Real Estate
$2500 NYC apartment #LGStanbyMEGo,2500 nyc apartment lgstanbymego,3,Housing & Real Estate
"My New $5,000,000 Apartment Tour (at 18)",5000000 apartment tour 18,3,Housing & Real Estate
NYC Apartment Tour: $16 MILLION LUXURY APARTMENT,nyc apartment tour 16 million luxury apartment,3,Housing & Real Estate
INSIDE the LARGEST APARTMENT in New York City,inside largest apartment york city,3,Housing & Real Estate
"Touring a $63,815,000 Futuristic Billionaires Row NYC Penthouse",touring 63815000 futuristic billionaires row nyc penthouse,3,Housing & Real Estate
11 RICHEST Neighborhoods in NEW YORK CITY,11 richest neighborhoods york city,3,Housing & Real Estate
What Are People Wearing In New York City? Stephen A. Smith,people wearing york city stephen smith,3,Housing & Real Estate
Inside the MOST EXPENSIVE and HIGHEST Penthouse In the WORLD!,inside expensive highest penthouse world,3,Housing & Real Estate
NYC Apartment Tour: $10.8 MILLION Historic Tribeca Luxury Loft Apartment,nyc apartment tour 108 million historic tribeca luxury loft apartment,3,Housing & Real Estate
"Living in a $45,000,000 NYC Penthouse Apartment on Billionaires' Row",living 45000000 nyc penthouse apartment billionaires row,3,Housing & Real Estate
"INSIDE a $135,000,000 NYC Penthouse Apartment | NYC APARTMENT TOUR",inside 135000000 nyc penthouse apartment nyc apartment tour,3,Housing & Real Estate
Meet The NYC Millionaire Who Owns OIL SHIPS,meet nyc millionaire owns oil ships,3,Housing & Real Estate
