Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
Symbiotes Vs Xenophages - Final Fight Scene | VENOM: THE LAST DANCE (2024) Movie CLIP HD,symbiotes vs xenophages final fight scene venom last dance 2024 movie clip hd,"[0.01771407 0.01771407 0.01771407 0.01771419 0.01771407 0.01771407
 0.80514509 0.01771408 0.01771406 0.01771406 0.01771408 0.01771406]",7,football_vs_most
Knull Backstory Scene | VENOM: THE LAST DANCE (2024) Movie CLIP HD,knull backstory scene venom last dance 2024 movie clip hd,"[0.02007985 0.02007985 0.02007985 0.02007985 0.02007985 0.02007986
 0.77912165 0.02007985 0.02007985 0.02007985 0.02007985 0.02007985]",7,football_vs_most
*SMART OR CHEATING* MOMENTS IN SPORTS!,smart cheating moments sports,"[0.20579385 0.02634569 0.02634551 0.02634673 0.02634715 0.02634578
 0.26200108 0.13018363 0.02634551 0.02634621 0.19125337 0.02634551]",7,football_vs_most
VIKKSTAR'S MOST SAVAGE MOMENTS OF ALL TIME!,vikkstars most savage moments time,"[0.02813915 0.02814002 0.02813902 0.02813902 0.02814002 0.02814
 0.42120864 0.02813928 0.02814245 0.2973933  0.02814007 0.02813902]",7,football_vs_most
BIGGEST SIDEMEN IRL FAILS!,biggest sidemen irl fails,"[0.03111559 0.03111594 0.03111616 0.03111537 0.0311161  0.2958297
 0.3930107  0.03111537 0.03111537 0.03111624 0.03111784 0.03111561]",7,football_vs_most
DUMBEST SIDEMEN MOMENTS!,dumbest sidemen moments,"[0.02875539 0.02875544 0.02875531 0.02875512 0.028757   0.02875548
 0.3940346  0.02875555 0.02875512 0.02875604 0.31840977 0.02875518]",7,football_vs_most
BEST LAST MINUTE GOALS IN FOOTBALL!,best last minute goals football,"[0.02616638 0.02616647 0.02616638 0.02616638 0.0261665  0.02616638
 0.71216866 0.02616639 0.02616638 0.02616725 0.02616638 0.02616646]",7,football_vs_most
BIGGEST MISTAKES IN FOOTBALL,biggest mistakes football,"[0.03097979 0.03097979 0.03097979 0.03097979 0.03097979 0.24272825
 0.44747386 0.03097979 0.03097979 0.03097979 0.03097979 0.03097979]",7,football_vs_most
BIGGEST MISTAKES IN FOOTBALL,biggest mistakes football,"[0.03097979 0.03097979 0.03097979 0.03097979 0.03097979 0.24272825
 0.44747386 0.03097979 0.03097979 0.03097979 0.03097979 0.03097979]",7,football_vs_most
THE BIGGEST SNAKES IN FOOTBALL,biggest snakes football,"[0.03480139 0.03480139 0.03480139 0.03480139 0.03480139 0.3750771
 0.27690902 0.03480139 0.03480139 0.03480139 0.03480139 0.03480139]",7,football_vs_most
WORST AIRPORT SECURITY FAILS OF ALL TIME!,worst airport security fails time,"[0.0279855  0.02798616 0.0279855  0.0279855  0.0279855  0.26037423
 0.45976621 0.0279855  0.02798882 0.0279855  0.02798607 0.0279855 ]",7,football_vs_most
SIDEMEN WHO’S MOST LIKELY TO: IMPOSTOR EDITION,sidemen whos most likely impostor edition,"[0.02838188 0.0283822  0.23381868 0.02838177 0.02838214 0.02838207
 0.4823606  0.02838177 0.02838177 0.02838221 0.02838301 0.02838189]",7,football_vs_most
SIDEMEN *FIND THE HOTTEST PERSON*!,sidemen find hottest person,"[0.03122337 0.03122362 0.32349833 0.0312232  0.03122374 0.03122345
 0.36426566 0.0312232  0.0312232  0.03122384 0.031225   0.03122338]",7,football_vs_most
"MOST BRUTAL MOMENTS ON ""THE BUTTON""",most brutal moments button,"[0.03119274 0.03119285 0.03119258 0.03119258 0.03119378 0.0311929
 0.65687883 0.03119289 0.03119258 0.0311931  0.03119258 0.03119258]",7,football_vs_most
Severely Underrated Sidemen Sunday Moments,severely underrated sidemen sunday moments,"[0.02870197 0.0287021  0.0287021  0.02870178 0.02870285 0.02870205
 0.68427624 0.02870198 0.02870178 0.02870247 0.02870278 0.02870188]",7,football_vs_most
BEST *OLD SIDEMEN* MOMENTS,best old sidemen moments,"[0.02655662 0.02655682 0.02655672 0.02655648 0.02655746 0.02655668
 0.70787459 0.02655664 0.02655648 0.02655762 0.02655726 0.02655663]",7,football_vs_most
TOP 10 SIDEMEN CHARITY MATCH MOMENTS!,top 10 sidemen charity match moments,"[0.30243918 0.02225512 0.02225512 0.02225494 0.02225553 0.02225509
 0.47500922 0.02225505 0.02225494 0.02225532 0.02225549 0.02225499]",7,football_vs_most
HILARIOUS SUNDAY LEAGUE FOOTBALL MOMENTS!,hilarious sunday league football moments,"[0.02631404 0.02631403 0.02631395 0.02631425 0.02631463 0.02631406
 0.59450455 0.14235439 0.02631395 0.02631425 0.02631395 0.02631395]",7,football_vs_most
SIDEMEN WHO'S MOST LIKELY TO: IMPOSTOR ROLE,sidemen whos most likely impostor role,"[0.02859864 0.02859892 0.02859877 0.02859859 0.02859876 0.02859883
 0.39289444 0.02859859 0.02859859 0.02859879 0.32111844 0.02859864]",7,football_vs_most
