Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
ARSENAL ARE A DISGRACE...,arsenal disgrace,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667]",6,league_premier_sports
MANCHESTER CITY: The WORST Champions League Collapse EVER?! (2024-25),manchester city worst champions league collapse ever 202425,"[0.02194457 0.02194756 0.02194457 0.0219446  0.02194457 0.02194505
 0.10667607 0.36680628 0.32901301 0.02194457 0.02194457 0.02194457]",6,league_premier_sports
Embarrassing Facepalm Moments!,embarrassing facepalm moments,"[0.03540177 0.03540171 0.03540136 0.03540136 0.03540501 0.03540188
 0.03540262 0.61057748 0.03540136 0.03540271 0.03540136 0.03540136]",6,league_premier_sports
LIVE TV *GOES WRONG*,live tv goes wrong,"[0.02783673 0.02783673 0.02783673 0.02783673 0.02783673 0.02783673
 0.02783673 0.69379594 0.02783673 0.02783673 0.02783673 0.02783673]",6,league_premier_sports
The Cringiest TV Ads of All Time,cringiest tv ads time,"[0.0347722  0.03477294 0.0347722  0.0347722  0.0347722  0.03477289
 0.03477304 0.37262593 0.27964868 0.0347722  0.03477329 0.0347722 ]",6,league_premier_sports
TIKTOKS THAT ARE ACTUALLY FUNNY!,tiktoks actually funny,"[0.03462931 0.03462931 0.03462964 0.03462931 0.29608572 0.03462931
 0.03462931 0.35762089 0.03462931 0.03462931 0.03462931 0.03462931]",6,league_premier_sports
"Sports Fails So Embarrassing, You’d Want to Retire Immediately",sports fails so embarrassing youd want retire immediately,"[0.16642595 0.1516815  0.02605804 0.02605825 0.02605804 0.02605804
 0.17889754 0.29452968 0.02605884 0.02605804 0.02605804 0.02605804]",6,league_premier_sports
Brighton v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 2/14/2025 | NBC Sports,brighton v chelsea premier league highlights 2142025 nbc sports,"[0.01958949 0.01958949 0.01958949 0.01958986 0.01958949 0.01958949
 0.01958949 0.78451523 0.01958949 0.01958949 0.01958949 0.01958949]",6,league_premier_sports
"£100 vs £1,000 Valentine's Day",100 vs 1000 valentines day,"[0.27932797 0.02821801 0.02821797 0.02822343 0.02821801 0.19291967
 0.02821964 0.27378475 0.02821751 0.02821751 0.02821802 0.02821751]",6,league_premier_sports
YOUTUBE SHORTS THAT WILL OFFEND YOU!,youtube shorts will offend,"[0.02837312 0.02836858 0.02836858 0.02836874 0.02836858 0.02836883
 0.02836858 0.68794067 0.02836858 0.02836858 0.02836858 0.02836858]",6,league_premier_sports
TIKTOKS THAT WILL MAKE YOU GIGGLE!,tiktoks will make giggle,"[0.03453722 0.03453007 0.03453007 0.03453007 0.03453007 0.03453007
 0.03453007 0.62016204 0.03453007 0.03453007 0.03453007 0.03453007]",6,league_premier_sports
