Original_Title,Cleaned_Title,Cluster,Cluster_Name
Demarai Gray stoppage-time stunner gets Everton in front | Premier League | NBC Sports,demarai gray stoppagetime stunner gets everton front premier league nbc sports,8,Sports
Joe Willock gives Newcastle United liftoff against Chelsea | Premier League | NBC Sports,joe willock gives newcastle united liftoff chelsea premier league nbc sports,8,Sports
Bournemouth v. Luton Town | PREMIER LEAGUE HIGHLIGHTS | 3/13/2024 | NBC Sports,bournemouth v luton town premier league highlights 3132024 nbc sports,8,Sports
Chelsea v. Newcastle United | PREMIER LEAGUE HIGHLIGHTS | 3/11/2024 | NBC Sports,chelsea v newcastle united premier league highlights 3112024 nbc sports,8,Sports
Arsenal v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 3/9/2024 | NBC Sports,arsenal v brentford premier league highlights 392024 nbc sports,8,Sports
Liverpool v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 3/10/2024 | NBC Sports,liverpool v manchester city premier league highlights 3102024 nbc sports,8,Sports
Aston Villa v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 3/10/2024 | NBC Sports,aston villa v tottenham hotspur premier league highlights 3102024 nbc sports,8,Sports
Manchester United v. Everton | PREMIER LEAGUE HIGHLIGHTS | 3/9/2024 | NBC Sports,manchester united v everton premier league highlights 392024 nbc sports,8,Sports
Arsenal v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 3/9/2024 | NBC Sports,arsenal v brentford premier league highlights 392024 nbc sports,8,Sports
Sheffield United v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 3/4/2024 | NBC Sports,sheffield united v arsenal premier league highlights 342024 nbc sports,8,Sports
Manchester City v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 3/3/2024 | NBC Sports,manchester city v manchester united premier league highlights 332024 nbc sports,8,Sports
Everton v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 3/2/2024 | NBC Sports,everton v west ham united premier league highlights 322024 nbc sports,8,Sports
Nottingham Forest v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 3/2/2024 | NBC Sports,nottingham forest v liverpool premier league highlights 322024 nbc sports,8,Sports
