Original_Title,Cleaned_Title,Cluster,Cluster_Name
$2300 NYC apartment #shorts #nyc,2300 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$$ Hamptons Home #shorts #nyc,hamptons home nyc,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"Aman New York, Most Expensive Hotel in Manhattan, NYC | Full Tour & 4K Travel Vlog",aman york expensive hotel manhattan nyc tour 4k travel vlog,4,nyc / apartment / tour / la / penthouse
$2500 NYC apartment #LGStanbyMEGo,2500 nyc apartment lgstanbymego,4,nyc / apartment / tour / la / penthouse
"My New $5,000,000 Apartment Tour (at 18)",5000000 apartment tour 18,4,nyc / apartment / tour / la / penthouse
NYC Apartment Tour: $16 MILLION LUXURY APARTMENT,nyc apartment tour 16 million luxury apartment,4,nyc / apartment / tour / la / penthouse
"Touring a $63,815,000 Futuristic Billionaires Row NYC Penthouse",touring 63815000 futuristic billionaires row nyc penthouse,4,nyc / apartment / tour / la / penthouse
"Inside a $28,000,000 NYC Apartment with a Private Pickle Ball Court!",inside 28000000 nyc apartment private pickle ball court,4,nyc / apartment / tour / la / penthouse
Inside the MOST EXPENSIVE and HIGHEST Penthouse In the WORLD!,inside expensive highest penthouse,4,nyc / apartment / tour / la / penthouse
"Touring the $250,000,000 Highest Penthouse IN THE WORLD",touring 250000000 highest penthouse,4,nyc / apartment / tour / la / penthouse
NYC Apartment Tour: $10.8 MILLION Historic Tribeca Luxury Loft Apartment,nyc apartment tour 108 million historic tribeca luxury loft apartment,4,nyc / apartment / tour / la / penthouse
"Living in a $45,000,000 NYC Penthouse Apartment on Billionaires' Row",living 45000000 nyc penthouse apartment billionaires row,4,nyc / apartment / tour / la / penthouse
"INSIDE a $135,000,000 NYC Penthouse Apartment | NYC APARTMENT TOUR",inside 135000000 nyc penthouse apartment nyc apartment tour,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts @haleyybaylee,nyc apartment haleyybaylee,4,nyc / apartment / tour / la / penthouse
@max $$$ home tour,max home tour,4,nyc / apartment / tour / la / penthouse
$1.6M NYC apartment #shorts #nyc,16m nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #LGStanbyME #shorts #nyc,nyc apartment lgstanbyme nyc,4,nyc / apartment / tour / la / penthouse
$$$ LA home #shorts #nyc,la home nyc,4,nyc / apartment / tour / la / penthouse
$1.3 million LA apartment #shorts #la,13 million la apartment la,4,nyc / apartment / tour / la / penthouse
$560 NYC apartment #shorts #nyc,560 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$2700 NYC apartment #shorts #nyc,2700 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
NYC Apartment Tour!! 300 sq. foot Minimalist Studio,nyc apartment tour 300 sq foot minimalist studio,4,nyc / apartment / tour / la / penthouse
"Inside a $54,600,000 Billionaires Row NYC Penthouse with Amazing City Views!",inside 54600000 billionaires row nyc penthouse amazing city views,4,nyc / apartment / tour / la / penthouse
"$63,815,000 Billionaires Row NYC Penthouse Tour #shorts",63815000 billionaires row nyc penthouse tour,4,nyc / apartment / tour / la / penthouse
"$54,600,000 Billionaires Row NYC Penthouse Tour #shorts",54600000 billionaires row nyc penthouse tour,4,nyc / apartment / tour / la / penthouse
$5900 NYC apartment #shorts #nyc,5900 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$3000 NYC apartment #shorts #nyc @JamesSeo,3000 nyc apartment nyc jamesseo,4,nyc / apartment / tour / la / penthouse
Scarlett Johansson office tour #shorts #nyc,scarlett johansson office tour nyc,4,nyc / apartment / tour / la / penthouse
$4100 NYC apartment #shorts #nyc,4100 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$$ LA apartment #shorts #la,la apartment la,4,nyc / apartment / tour / la / penthouse
