Original_Title,Cleaned_Title,Cluster,Cluster_Name
"$20,000 NYC apartment #shorts #nyc",20000 nyc apartment nyc,6,Housing & Real Estate
SMALLEST Apartment in New York City #shorts #nyc,smallest apartment york city nyc,6,Housing & Real Estate
$687 NYC apartment #shorts #nyc,687 nyc apartment nyc,6,Housing & Real Estate
2.5 million NYC apartment #shorts #nyc,25 million nyc apartment nyc,6,Housing & Real Estate
15 Million NYC apartment #shorts #nyc,15 million nyc apartment nyc,6,Housing & Real Estate
$1875 NYC apartment #shorts #nyc,1875 nyc apartment nyc,6,Housing & Real Estate
$3100 NYC apartment #shorts #nyc,3100 nyc apartment nyc,6,Housing & Real Estate
ABANDONED JAPANESE APARTMENT #shorts #nyc  @ANTONINJAPAN,abandoned japanese apartment nyc antoninjapan,6,Housing & Real Estate
$2100 NYC apartment #shorts #nyc,2100 nyc apartment nyc,6,Housing & Real Estate
"$48,000 NYC apartment #shorts #nyc",48000 nyc apartment nyc,6,Housing & Real Estate
$560 NYC apartment #shorts #nyc,560 nyc apartment nyc,6,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
$3000 NYC apartment #shorts #nyc,3000 nyc apartment nyc,6,Housing & Real Estate
Japan Apartment Tour #japan #home tour,japan apartment tour japan home tour,6,Housing & Real Estate
$2600 NYC apartment #shorts #nyc,2600 nyc apartment nyc,6,Housing & Real Estate
NYC APARTMENT TOUR #shorts #nyc,nyc apartment tour nyc,6,Housing & Real Estate
$$$ NYC apartments #shorts #nyc,nyc apartments nyc,6,Housing & Real Estate
$1600 Nashville Apartment #shorts #nyc,1600 nashville apartment nyc,6,Housing & Real Estate
$1600 Nashville Apartment #shorts #nyc,1600 nashville apartment nyc,6,Housing & Real Estate
Inside Sofía Vergara’s Stunning Los Angeles Home | Open Door | Architectural Digest,inside sofa vergaras stunning los angeles home open door architectural digest,6,Housing & Real Estate
NYC Repeat Run-Ins 👋,nyc repeat runins,6,Housing & Real Estate
Generative Misinformation with Prof. Jevin West,generative misinformation prof jevin west,6,Housing & Real Estate
Japan Apartment Tour #japan #home tour,japan apartment tour japan home tour,6,Housing & Real Estate
"Touring a $20,000,000 NYC Penthouse With a Massive Rooftop Deck",touring 20000000 nyc penthouse massive rooftop deck,6,Housing & Real Estate
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,6,Housing & Real Estate
Touring the IRON MAN House!,touring iron man house,6,Housing & Real Estate
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,6,Housing & Real Estate
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,6,Housing & Real Estate
$2650 NYC apartment #shorts #nyc,2650 nyc apartment nyc,6,Housing & Real Estate
$$$& NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
Castle Expert Breaks Down Hogwarts Architectural Details From Harry Potter | Architectural Digest,castle expert breaks hogwarts architectural details harry potter architectural digest,6,Housing & Real Estate
How Central Park Was Created Entirely By Design and Not By Nature | Architectural Digest,how central park created entirely design nature architectural digest,6,Housing & Real Estate
Architect Breaks Down the Evolution Of Batman’s Wayne Manor | Architectural Digest,architect breaks evolution batmans wayne manor architectural digest,6,Housing & Real Estate
Touring Jake Paul’s Rare Car Collection,touring jake pauls rare car collection,6,Housing & Real Estate
Stunning Million Dollar Listing in Marietta GA,stunning million dollar listing marietta ga,6,Housing & Real Estate
"Touring a $48,850,000 Cliffside OceanFront California MEGA MANSION",touring 48850000 cliffside oceanfront california mega mansion,6,Housing & Real Estate
NYU Dorm Tour | Lafayette,nyu dorm tour lafayette,6,Housing & Real Estate
